
Continent	Country	Population Per Million
Asia	Afghanistan	22.72
Asia	Armenia	3.52
Asia	Azerbaijan	7.734
Asia	Bahrain	0.617
Asia	Bangladesh	129.155
Asia	Bhutan	2.124
Asia	Brunei	0.328
Asia	Cambodia	11.168
Asia	China	1277.558
Asia	Cyprus	0.7547
Asia	East Timor	0.885
Asia	Georgia	4.968
Asia	Hong Kong	6.782
Asia	India	1013.662
Asia	Indonesia	212.107
Asia	Iran	67.702
Asia	Iraq	23.115
Asia	Israel	6.217
Asia	Japan	126.714
Asia	Jordan	5.083
Asia	Kazakstan	16.223
Asia	Kuwait	1.972
Asia	Kyrgyzstan	4.699
Asia	Laos	5.433
Asia	Lebanon	3.282
Asia	Macao	0.473
Asia	Malaysia	22.244
Asia	Maldives	0.286
Asia	Mongolia	2.662
Asia	Myanmar	45.611
Asia	Nepal	23.93
Asia	North Korea	24.039
Asia	Oman	2.542
Asia	Pakistan	156.483
Asia	Palestine	3.101
Asia	Philippines	75.967
Asia	Qatar	0.599
Asia	Saudi Arabia	21.607
Asia	Singapore	3.567
Asia	South Korea	46.844
Asia	Sri Lanka	18.827
Asia	Syria	16.125
Asia	Taiwan	22.256
Asia	Tajikistan	6.188
Asia	Thailand	61.399
Asia	Turkey	66.591
Asia	Turkmenistan	4.459
Asia	United Arab Emirates	2.441
Asia	Uzbekistan	24.318
Asia	Vietnam	79.832
Asia	Yemen	18.112
Europe	Albania	3.4012
Europe	Andorra	0.078
Europe	Austria	8.0918
Europe	Belarus	10.236
Europe	Belgium	10.239
Europe	Bosnia and Herzegovina	3.972
Europe	Bulgaria	8.1909
Europe	Croatia	4.473
Europe	Czech Republic	10.2781
Europe	Denmark	5.33
Europe	Estonia	1.4392
Europe	Faroe Islands	0.043
Europe	Finland	5.1713
Europe	France	59.2257
Europe	Germany	82.1647
Europe	Gibraltar	0.025
Europe	Greece	10.5457
Europe	Holy See (Vatican City State)	0.001
Europe	Hungary	10.0432
Europe	Iceland	0.279
Europe	Ireland	3.7751
Europe	Italy	57.68
Europe	Latvia	2.4242
Europe	Liechtenstein	0.0323
Europe	Lithuania	3.6985
Europe	Luxembourg	0.4357
Europe	Macedonia	2.024
Europe	Malta	0.3802
Europe	Moldova	4.38
Europe	Monaco	0.034
Europe	Netherlands	15.864
Europe	Norway	4.4785
Europe	Poland	38.6536
Europe	Portugal	9.9976
Europe	Romania	22.4555
Europe	Russian Federation	146.934
Europe	San Marino	0.027
Europe	Slovakia	5.3987
Europe	Slovenia	1.9878
Europe	Spain	39.4417
Europe	Svalbard and Jan Mayen	0.0032
Europe	Sweden	8.8614
Europe	Switzerland	7.1604
Europe	Ukraine	50.456
Europe	United Kingdom	59.6234
Europe	Yugoslavia	10.64
North America	Anguilla	0.008
North America	Antigua and Barbuda	0.068
North America	Aruba	0.103
